id,filename,type,size_bytes,duration,format,quality,tags
1,file_1,audio/wav,100061,3.04,low,landscape;portrait;nature
2,file_2,image/bmp,30471,0,low,art;portrait;abstract
3,file_3,audio/wav,30321,9.61,low,nature
4,file_4,image/png,354505,0,medium,nature;portrait
5,file_5,audio/wav,304020,5.99,low,landscape;portrait
6,file_6,image/bmp,490555,0,high,landscape
7,file_7,image/bmp,125640,0,high,tech;landscape
8,file_8,image/bmp,240217,0,high,nature
9,file_9,image/svg+xml,326166,0,low,portrait
10,file_10,audio/wav,265729,2.73,high,tech
11,file_11,image/bmp,149915,0,medium,abstract;portrait
12,file_12,image/bmp,321195,0,low,abstract;portrait;music
13,file_13,image/png,492769,0,medium,nature;nature
14,file_14,audio/wav,143288,2.89,medium,music;tech;landscape
15,file_15,image/bmp,265479,0,lossless,abstract;nature
16,file_16,image/png,333047,0,lossless,nature;nature
17,file_17,image/bmp,404788,0,medium,music;tech;landscape
18,file_18,image/svg+xml,289739,0,lossless,nature;nature;nature
19,file_19,audio/wav,286546,0.46,high,portrait;tech;art
20,file_20,audio/wav,22430,3.15,low,tech;landscape
21,file_21,audio/wav,350165,1.12,lossless,landscape;tech;tech
22,file_22,audio/wav,419871,8.13,lossless,tech
23,file_23,image/bmp,410695,0,lossless,abstract;landscape;abstract
24,file_24,audio/wav,140383,1.68,low,abstract;nature
25,file_25,image/svg+xml,117119,0,medium,music;music
26,file_26,audio/wav,117376,0.33,medium,music;music
27,file_27,image/png,405945,0,high,landscape;portrait
28,file_28,image/svg+xml,356763,0,high,nature
29,file_29,image/bmp,94120,0,high,nature
30,file_30,image/svg+xml,181739,0,high,portrait;portrait
31,file_31,image/png,202453,0,medium,nature;landscape
32,file_32,image/svg+xml,1386,0,medium,art;nature
33,file_33,image/bmp,327212,0,high,abstract;nature;landscape
34,file_34,image/bmp,266378,0,high,art;music;art
35,file_35,image/bmp,291171,0,medium,art
36,file_36,image/svg+xml,355609,0,medium,portrait;music;art
37,file_37,image/png,159817,0,high,art
38,file_38,image/bmp,244287,0,lossless,landscape;tech
39,file_39,image/svg+xml,416645,0,medium,nature;music;portrait
40,file_40,image/bmp,49461,0,medium,music;tech;abstract
41,file_41,audio/wav,77755,0.34,medium,portrait;abstract
42,file_42,image/png,239269,0,lossless,portrait;tech;landscape
43,file_43,image/svg+xml,259696,0,lossless,tech
44,file_44,image/png,468510,0,low,tech;tech
45,file_45,image/svg+xml,26828,0,medium,art
46,file_46,audio/wav,420673,4.7,high,portrait;abstract
47,file_47,image/svg+xml,435957,0,lossless,landscape
48,file_48,image/svg+xml,236466,0,high,abstract
49,file_49,image/bmp,402006,0,lossless,tech;music;art
50,file_50,image/png,374603,0,high,music
51,file_51,image/bmp,168119,0,low,tech
52,file_52,audio/wav,201320,6.97,medium,art
53,file_53,image/svg+xml,173977,0,lossless,nature;tech
54,file_54,image/svg+xml,204698,0,low,art;art;nature
55,file_55,image/bmp,157059,0,lossless,portrait;landscape
56,file_56,audio/wav,256472,2.27,lossless,nature;art
57,file_57,image/bmp,351182,0,lossless,tech;abstract;art
58,file_58,audio/wav,326741,5.39,lossless,portrait;landscape;nature
59,file_59,image/png,337485,0,lossless,abstract
60,file_60,image/svg+xml,95778,0,low,art;music
61,file_61,audio/wav,238893,3.34,lossless,abstract;abstract
62,file_62,image/svg+xml,132762,0,low,nature;landscape
63,file_63,image/png,499580,0,high,landscape
64,file_64,image/png,410091,0,low,tech
65,file_65,audio/wav,440497,0.3,medium,tech
66,file_66,image/svg+xml,351489,0,low,tech;art;landscape
67,file_67,image/bmp,402575,0,high,portrait
68,file_68,image/png,408286,0,medium,nature;portrait
69,file_69,image/png,487504,0,high,landscape;art;art
70,file_70,audio/wav,40344,5.96,medium,landscape
71,file_71,image/bmp,446298,0,low,abstract;nature;music
72,file_72,image/svg+xml,347327,0,high,portrait
73,file_73,image/bmp,7133,0,lossless,nature;art
74,file_74,image/bmp,333729,0,lossless,tech;art;tech
75,file_75,image/bmp,323415,0,lossless,art;abstract
76,file_76,image/bmp,169480,0,medium,music
77,file_77,image/svg+xml,128354,0,lossless,portrait;landscape;art
78,file_78,image/bmp,15547,0,lossless,tech;art
